[0,                                                params  mean_test_score  rank_test_score
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.573408               13
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.591207                5
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.595390                1
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.547264               25
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.564748               17
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.532865               29
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.549486               21, 55,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.544984               17
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.544158               21
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.558581                1
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.557734                5
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.546122               13
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.546306                9
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.535526               29
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.542703               25
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.544984               17
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.544158               21
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.558581                1
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.557734                5
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.546122               13
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.546306                9
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.535526               29
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.542703               25
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.544984               17
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.544158               21
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.558581                1
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.557734                5
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.546122               13
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.546306                9
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.535526               29
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.542703               25
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.544984               17
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.544158               21
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.558581                1
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.557734                5
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.546122               13
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.546306                9
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.535526               29
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.542703               25, 56,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.546856                9
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.542871               17
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.552448                5
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.560811                1
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.528818               29
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.543281               13
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.532081               25
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.533605               21
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.546856                9
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.542871               17
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.552448                5
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.560811                1
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.528818               29
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.543281               13
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.532081               25
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.533605               21
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.546856                9
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.542871               17
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.552448                5
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.560811                1
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.528818               29
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.543281               13
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.532081               25
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.533605               21
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.546856                9
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.542871               17
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.552448                5
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.560811                1
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.528818               29
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.543281               13
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.532081               25
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.533605               21, 57,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.556779               25
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.554349               29
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.579091               13
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.578498               17
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.569267               21
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.581828                5
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.581040                9
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.586797                1
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.556779               25
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.554349               29
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.579091               13
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.578498               17
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.569267               21
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.581828                5
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.581040                9
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.586797                1
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.556779               25
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.554349               29
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.579091               13
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.578498               17
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.569267               21
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.581828                5
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.581040                9
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.586797                1
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.556779               25
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.554349               29
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.579091               13
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.578498               17
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.569267               21
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.581828                5
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.581040                9
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.586797                1, 58,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.552772                9
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.552752               13
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.564539                1
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.562961                5
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.535962               25
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.537638               21
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.532045               29
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.549550               17
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.552772                9
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.552752               13
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.564539                1
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.562961                5
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.535962               25
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.537638               21
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.532045               29
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.549550               17
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.552772                9
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.552752               13
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.564539                1
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.562961                5
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.535962               25
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.537638               21
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.532045               29
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.549550               17
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.552772                9
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.552752               13
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.564539                1
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.562961                5
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.535962               25
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.537638               21
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.532045               29
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.549550               17, 59,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.539673               25
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.544838               13
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.541890               21
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.532675               29
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.541978               17
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.545209                9
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.546943                5
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.560338                1
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.539673               25
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.544838               13
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.541890               21
